
구입금액을 입력해 주세요.

수동으로 구매할 로또 수를 입력해 주세요.

수동으로 구매할 번호를 입력해 주세요.(,로 구분합니다.)

자동에 노출되고 싶지 않은 번호를 , 구분자로 하여 입력하세요

수동으로 1장, 자동으로 1399개를 구매했습니다.
1,2,3,4,25,27 번호 제외되었습니다.
[17,30,32,38,43,44]
[9,12,22,23,30,38]
[5,6,14,28,32,36]
[9,10,20,33,42,44]
[8,18,21,22,23,33]
[10,21,31,36,37,43]
[5,18,22,32,36,44]
[13,14,22,30,33,35]
[9,10,13,18,21,44]
[5,12,13,26,34,35]
[13,17,20,22,34,44]
[8,24,26,29,32,34]
[13,26,29,32,34,37]
[16,17,18,29,35,38]
[12,21,24,35,36,41]
[15,30,31,33,34,44]
[5,8,19,23,36,43]
[13,21,22,36,44,45]
[14,20,24,33,39,43]
[18,26,31,32,44,45]
[9,11,24,26,35,39]
[5,8,17,22,33,45]
[6,8,10,33,37,45]
[5,10,13,35,36,38]
[6,8,12,13,32,37]
[8,9,18,21,39,45]
[5,8,17,20,31,44]
[16,18,19,20,24,29]
[13,23,24,34,40,42]
[13,18,20,36,37,38]
[7,10,26,28,39,42]
[6,8,14,16,17,41]
[11,17,23,26,40,43]
[5,11,18,29,42,44]
[17,19,20,21,22,39]
[14,15,22,28,34,38]
[19,24,32,33,36,44]
[7,9,21,24,31,32]
[5,22,34,35,36,38]
[9,15,23,28,39,45]
[9,13,16,26,34,37]
[9,16,21,22,30,37]
[12,14,16,22,31,38]
[6,10,11,17,18,45]
[10,17,20,23,30,40]
[10,11,19,21,29,45]
[19,24,32,33,37,43]
[6,12,17,23,24,40]
[9,16,17,20,33,43]
[6,14,30,35,41,45]
[9,12,17,22,24,35]
[10,18,22,30,37,42]
[7,9,15,35,37,45]
[7,12,22,30,31,36]
[12,16,24,37,41,44]
[16,19,20,28,37,38]
[5,8,17,29,33,35]
[6,19,29,32,34,40]
[6,14,18,20,26,37]
[11,20,24,28,30,33]
[8,12,20,26,40,44]
[7,19,26,28,38,39]
[11,12,19,40,41,43]
[7,17,35,37,40,43]
[12,15,21,30,31,45]
[12,18,22,24,28,34]
[10,21,23,28,37,45]
[6,7,8,10,17,29]
[9,10,17,30,33,34]
[6,13,29,33,36,37]
[7,16,21,30,32,45]
[9,12,31,32,37,40]
[8,15,21,34,36,43]
[11,14,17,19,28,38]
[6,8,20,30,37,40]
[6,10,24,33,38,42]
[13,18,19,28,41,43]
[13,24,30,32,41,43]
[10,17,23,28,40,44]
[6,10,16,24,36,44]
[5,18,24,26,36,44]
[10,16,17,18,32,35]
[18,20,30,35,37,40]
[6,7,17,39,42,45]
[12,14,16,17,28,43]
[7,18,30,32,36,45]
[17,23,24,26,30,40]
[9,15,17,24,35,44]
[7,10,19,21,28,30]
[10,28,35,36,42,43]
[13,17,24,28,35,38]
[13,15,16,19,28,37]
[12,20,28,29,38,40]
[9,12,16,36,39,40]
[13,17,21,23,30,32]
[5,6,9,12,17,18]
[13,14,28,30,37,43]
[5,6,11,15,20,34]
[11,14,33,35,37,39]
[5,9,17,20,28,40]
[17,20,23,38,42,44]
[7,10,14,30,34,45]
[9,13,15,24,38,40]
[10,15,19,21,34,42]
[13,21,22,24,44,45]
[6,12,13,19,22,45]
[12,23,33,42,43,45]
[11,16,26,32,44,45]
[7,8,9,17,20,24]
[5,10,16,21,33,37]
[14,16,18,19,23,32]
[8,11,19,23,36,43]
[6,7,8,14,22,24]
[7,9,26,31,32,45]
[6,8,12,15,20,34]
[7,15,17,33,38,43]
[8,16,19,29,39,43]
[6,11,34,36,37,40]
[6,10,21,35,42,43]
[5,8,9,16,36,42]
[6,12,17,20,23,37]
[5,6,14,16,18,39]
[13,16,21,29,34,39]
[6,13,15,22,24,26]
[11,28,29,31,33,45]
[16,19,31,33,36,40]
[17,28,31,35,41,43]
[7,9,18,19,21,34]
[15,35,38,39,40,45]
[12,21,28,32,34,40]
[9,16,19,29,35,38]
[13,22,23,30,33,36]
[7,8,9,22,30,41]
[12,20,31,37,39,42]
[7,10,17,18,21,39]
[16,17,29,34,40,42]
[7,9,18,21,26,39]
[7,23,26,32,36,37]
[12,13,26,31,39,44]
[6,7,22,28,35,38]
[11,23,29,34,43,44]
[7,10,14,22,26,43]
[9,15,16,22,30,37]
[20,24,35,36,37,43]
[8,13,18,24,32,39]
[16,19,20,36,40,44]
[5,16,30,34,39,43]
[10,14,15,20,23,39]
[9,11,12,13,30,41]
[21,22,29,34,35,45]
[7,8,13,15,35,39]
[6,13,23,32,35,43]
[12,14,24,34,37,38]
[26,28,31,32,38,44]
[18,20,22,41,42,45]
[13,18,21,24,30,44]
[8,10,16,23,32,41]
[9,21,33,40,41,43]
[9,10,13,18,26,29]
[7,22,23,31,32,44]
[11,16,19,22,39,40]
[5,8,13,35,37,45]
[6,7,13,15,36,42]
[10,14,29,32,41,44]
[8,26,31,38,43,45]
[8,15,19,33,42,45]
[8,14,32,38,39,43]
[9,14,20,24,38,40]
[8,9,11,35,36,43]
[7,23,30,31,33,45]
[9,10,18,20,22,42]
[9,11,17,29,36,41]
[5,10,17,20,31,45]
[14,30,31,33,36,44]
[9,24,31,36,39,44]
[8,14,17,28,41,43]
[5,6,10,11,30,34]
[28,34,35,37,40,42]
[11,18,22,35,39,41]
[9,15,23,37,42,44]
[8,17,21,23,40,41]
[9,10,11,23,35,36]
[5,8,9,10,14,26]
[8,17,19,21,30,34]
[6,20,26,29,44,45]
[19,20,21,23,26,33]
[21,26,29,33,37,42]
[5,15,23,30,38,45]
[12,19,20,29,39,40]
[8,9,21,22,30,33]
[9,23,24,30,33,39]
[16,20,21,33,42,43]
[9,17,18,24,35,43]
[11,14,21,23,34,43]
[5,20,24,33,34,45]
[5,6,7,18,34,36]
[8,11,23,29,38,45]
[6,12,14,39,42,44]
[15,31,33,36,39,40]
[7,10,13,18,34,41]
[5,7,11,18,28,43]
[8,12,14,18,26,32]
[6,7,8,11,23,42]
[6,10,14,24,29,44]
[9,15,24,28,42,45]
[18,23,24,26,38,39]
[6,19,23,26,40,42]
[6,14,19,29,39,40]
[15,18,31,34,41,45]
[7,28,38,39,40,41]
[9,16,18,29,33,37]
[6,9,11,14,18,37]
[9,15,17,29,32,38]
[10,11,16,20,22,34]
[7,19,28,33,35,43]
[7,8,17,21,42,44]
[11,15,26,28,39,44]
[9,32,35,36,42,45]
[5,11,18,30,38,41]
[9,11,17,26,29,30]
[6,29,36,41,42,44]
[5,8,9,33,38,42]
[9,13,16,19,22,24]
[17,21,30,34,36,44]
[7,12,19,21,24,45]
[14,16,28,33,38,43]
[21,22,30,33,37,40]
[8,14,18,28,31,44]
[11,16,30,36,39,45]
[5,20,29,31,40,44]
[5,8,12,28,30,41]
[9,17,22,37,40,42]
[6,15,17,29,33,34]
[9,11,15,34,35,37]
[6,9,16,19,29,39]
[23,26,28,30,33,43]
[5,14,16,18,34,38]
[5,9,11,13,26,32]
[15,16,28,31,40,41]
[11,14,30,33,34,36]
[15,16,18,33,37,41]
[11,22,23,29,35,42]
[14,32,35,38,39,41]
[26,29,32,36,38,43]
[5,10,13,15,17,41]
[6,12,13,24,28,41]
[12,29,30,33,34,37]
[11,15,23,36,39,40]
[18,20,23,24,30,40]
[5,9,20,30,35,36]
[15,22,29,34,44,45]
[9,11,16,28,32,44]
[5,9,15,16,26,39]
[12,13,15,16,19,43]
[6,19,20,33,34,41]
[14,15,28,35,39,43]
[16,23,24,30,34,39]
[7,12,14,22,33,37]
[5,8,9,12,20,39]
[11,16,26,28,33,41]
[5,12,22,30,34,40]
[17,18,23,24,32,45]
[11,18,39,40,41,44]
[18,28,29,31,32,34]
[7,23,31,36,41,45]
[6,9,17,19,32,37]
[9,13,18,29,31,35]
[10,13,15,19,28,41]
[8,13,16,18,19,21]
[6,17,18,22,35,39]
[8,13,20,21,32,33]
[15,19,28,33,35,40]
[6,12,14,30,34,44]
[5,9,22,30,35,38]
[5,20,23,31,32,41]
[5,6,19,20,32,37]
[15,16,19,21,22,41]
[8,11,28,30,40,45]
[5,10,14,20,28,35]
[8,20,22,26,34,38]
[15,22,30,32,35,37]
[10,13,31,38,41,43]
[5,10,13,16,19,43]
[6,13,20,24,35,38]
[11,21,22,32,36,43]
[13,22,32,33,35,43]
[13,21,22,33,34,43]
[17,20,24,33,44,45]
[5,15,22,26,38,40]
[6,9,24,38,41,44]
[5,14,33,35,37,40]
[26,33,37,38,42,43]
[7,16,21,29,39,41]
[5,6,15,30,32,43]
[6,9,12,18,29,32]
[12,13,17,29,35,38]
[7,13,17,38,39,45]
[5,6,12,17,21,35]
[9,15,16,21,32,37]
[6,7,12,32,42,44]
[5,20,21,22,26,30]
[12,29,30,32,35,44]
[6,12,28,29,34,43]
[6,8,12,26,33,39]
[5,17,19,20,34,35]
[7,18,32,40,44,45]
[6,9,19,23,31,43]
[9,13,14,18,32,33]
[18,30,31,37,42,43]
[7,22,28,35,39,40]
[11,17,28,34,35,39]
[11,18,28,30,34,44]
[7,9,11,13,15,39]
[15,28,29,36,37,40]
[9,20,32,33,39,41]
[5,10,14,19,37,43]
[5,9,13,17,38,39]
[10,11,20,31,34,44]
[5,13,21,26,34,38]
[10,14,19,24,32,37]
[8,13,19,20,22,28]
[7,14,15,29,36,43]
[20,23,32,34,36,38]
[10,11,12,37,38,44]
[12,21,31,41,42,45]
[21,28,31,33,37,42]
[11,12,23,31,39,40]
[11,13,22,29,31,45]
[6,7,13,18,21,40]
[12,13,17,30,33,40]
[6,23,31,37,38,39]
[11,15,18,23,33,38]
[10,15,18,22,29,35]
[7,9,18,23,34,43]
[6,12,20,23,24,45]
[8,10,12,16,31,37]
[7,9,10,30,32,45]
[13,18,22,29,41,43]
[8,9,16,18,24,39]
[14,18,26,33,37,43]
[5,14,24,34,38,43]
[8,12,18,19,26,36]
[6,11,22,30,36,44]
[10,12,19,28,31,32]
[24,28,32,42,43,45]
[10,17,21,28,42,45]
[8,21,24,26,40,42]
[7,8,13,24,29,34]
[10,16,17,21,32,35]
[19,21,26,28,32,33]
[13,18,26,33,36,44]
[5,6,8,16,28,36]
[9,13,17,36,39,41]
[9,14,15,16,24,38]
[13,19,29,31,35,45]
[15,17,18,19,20,35]
[8,12,13,17,18,22]
[14,28,31,32,39,41]
[9,12,16,18,33,38]
[8,12,14,19,34,35]
[11,14,20,21,26,35]
[10,17,18,20,29,30]
[9,12,13,21,33,42]
[6,11,17,33,35,43]
[16,18,30,33,35,36]
[6,7,12,13,16,34]
[14,31,35,36,41,43]
[6,9,12,14,17,35]
[6,9,31,35,40,43]
[8,9,16,24,30,35]
[13,14,20,30,36,38]
[8,14,17,23,42,43]
[8,17,24,34,37,38]
[6,10,17,26,39,40]
[10,18,30,31,36,43]
[7,15,24,26,40,44]
[11,14,22,29,43,45]
[5,6,7,17,24,44]
[6,8,15,18,21,41]
[5,6,9,13,32,37]
[6,12,16,20,24,31]
[12,15,29,34,37,38]
[14,23,28,35,39,43]
[7,11,19,24,29,42]
[7,13,21,22,40,45]
[8,11,13,26,28,33]
[13,15,20,24,30,43]
[5,6,16,34,35,42]
[6,7,21,22,26,34]
[8,23,26,30,34,44]
[16,20,22,26,41,43]
[11,12,21,33,36,37]
[10,19,22,24,26,35]
[16,21,26,32,34,40]
[6,7,12,18,19,34]
[7,11,12,33,39,40]
[7,12,17,20,22,24]
[5,7,13,15,30,44]
[6,10,18,20,21,41]
[10,21,28,31,39,45]
[12,22,31,32,35,37]
[7,21,22,24,30,34]
[9,10,21,28,38,44]
[5,13,20,35,42,43]
[20,22,23,24,37,44]
[16,24,31,33,43,44]
[10,18,21,32,34,39]
[8,23,24,34,38,42]
[7,19,20,21,31,44]
[7,12,15,19,22,29]
[15,17,19,22,29,45]
[8,10,13,22,31,32]
[8,9,10,20,29,30]
[11,18,28,34,37,42]
[5,10,17,21,30,41]
[5,12,13,22,33,38]
[14,15,16,18,20,36]
[8,11,15,26,33,41]
[5,9,11,32,35,44]
[8,18,19,33,37,44]
[7,10,13,16,24,29]
[10,15,19,23,31,36]
[5,12,23,31,34,43]
[6,15,32,35,36,44]
[8,9,20,22,24,44]
[13,15,18,23,35,43]
[16,17,21,36,41,42]
[10,24,29,33,40,44]
[12,20,34,35,39,41]
[5,15,18,22,29,31]
[9,19,24,29,32,34]
[7,12,24,26,33,42]
[5,15,21,30,38,44]
[7,20,23,32,34,39]
[6,11,12,13,39,41]
[7,13,14,19,23,32]
[9,13,17,31,33,38]
[13,22,24,26,39,41]
[7,19,26,31,36,44]
[12,18,20,22,33,37]
[15,20,32,33,41,45]
[14,15,17,31,32,36]
[15,29,35,43,44,45]
[17,32,36,38,40,41]
[6,7,19,20,24,38]
[13,17,34,35,37,38]
[13,19,21,28,37,40]
[7,15,16,24,36,44]
[9,10,12,18,22,24]
[6,11,16,31,34,36]
[15,30,36,38,39,43]
[7,8,13,17,26,34]
[5,14,18,26,34,35]
[9,17,24,30,31,35]
[6,13,19,21,40,41]
[9,13,22,26,29,35]
[5,10,24,29,32,42]
[7,10,13,18,40,44]
[17,18,23,24,32,43]
[5,11,14,24,40,41]
[6,10,15,16,22,40]
[10,13,18,19,29,36]
[17,18,22,34,39,41]
[14,22,23,26,30,41]
[11,12,13,17,20,38]
[15,16,20,32,39,40]
[5,14,23,24,28,39]
[7,8,12,15,36,37]
[5,13,23,26,29,31]
[10,20,24,26,28,34]
[7,8,18,21,38,45]
[6,11,16,22,23,26]
[7,8,13,19,21,26]
[12,17,24,31,32,41]
[5,24,32,38,40,41]
[7,9,10,31,41,44]
[8,19,23,32,38,40]
[11,20,22,23,29,44]
[17,32,34,37,38,45]
[9,11,28,31,39,41]
[6,9,11,24,35,45]
[8,11,16,21,24,31]
[7,8,16,21,35,41]
[12,13,18,26,29,30]
[12,18,24,33,35,42]
[8,18,19,24,26,39]
[17,19,21,26,43,45]
[6,13,23,32,39,44]
[6,7,18,30,35,36]
[7,8,14,16,24,37]
[6,30,32,40,43,45]
[26,28,33,39,41,42]
[6,8,19,31,33,39]
[5,10,15,21,29,37]
[24,30,34,37,44,45]
[5,11,17,23,33,37]
[5,8,14,17,31,42]
[6,11,15,38,42,43]
[7,8,14,22,37,45]
[9,13,16,30,40,43]
[18,20,21,26,32,42]
[13,23,31,34,41,42]
[7,17,23,28,34,35]
[5,13,19,23,29,41]
[6,9,14,22,28,29]
[5,17,20,26,35,45]
[9,13,14,22,36,39]
[9,15,18,29,37,39]
[11,18,19,34,37,38]
[5,9,11,12,28,40]
[9,13,39,40,43,45]
[6,8,20,21,26,31]
[17,20,21,32,43,45]
[6,13,14,20,23,43]
[14,26,28,32,33,35]
[21,29,31,32,42,43]
[10,15,21,22,34,35]
[6,14,28,35,41,42]
[21,22,31,34,38,45]
[6,29,32,40,42,43]
[12,19,31,32,34,44]
[16,19,29,30,38,40]
[12,16,21,26,40,41]
[8,9,16,26,40,42]
[6,8,9,18,34,43]
[6,19,23,37,40,45]
[14,16,17,18,30,39]
[10,19,28,32,33,42]
[8,10,17,24,26,40]
[7,15,35,37,38,41]
[8,11,15,18,38,43]
[6,26,28,37,42,43]
[9,11,19,22,37,40]
[9,20,28,35,39,42]
[13,22,23,35,42,44]
[6,14,22,29,30,38]
[10,11,13,15,16,22]
[5,7,11,20,21,39]
[11,13,20,24,35,40]
[8,10,13,18,38,41]
[6,8,17,32,41,44]
[5,7,11,15,16,37]
[6,7,12,36,42,43]
[9,12,17,20,29,33]
[7,18,20,21,31,34]
[15,18,20,24,38,42]
[6,13,29,34,38,44]
[13,19,20,36,42,44]
[10,17,20,23,30,33]
[11,20,30,34,38,45]
[6,23,24,35,41,42]
[10,15,16,36,42,43]
[9,17,18,32,34,35]
[12,15,16,28,33,41]
[18,19,28,33,35,44]
[11,18,28,33,34,39]
[10,11,20,28,33,34]
[6,12,23,35,37,38]
[14,29,31,33,37,39]
[5,8,13,14,24,42]
[6,30,38,40,43,45]
[7,8,20,35,40,42]
[11,18,19,35,41,42]
[15,19,23,29,39,45]
[9,10,22,29,31,41]
[10,15,38,39,41,45]
[6,14,18,28,43,44]
[10,15,18,31,33,42]
[18,26,31,34,35,42]
[9,13,22,24,31,42]
[17,19,20,22,23,38]
[9,18,20,22,32,45]
[12,17,19,26,29,45]
[17,26,33,38,44,45]
[10,18,19,20,41,45]
[5,6,10,21,22,39]
[7,9,10,11,30,44]
[10,20,21,26,39,40]
[12,15,16,18,19,39]
[7,17,20,31,38,41]
[7,18,26,28,30,38]
[5,24,38,40,41,43]
[14,15,18,37,43,45]
[13,17,33,40,41,43]
[14,15,28,42,43,45]
[7,19,24,37,43,45]
[7,15,17,19,30,41]
[16,18,20,21,24,41]
[16,19,21,28,35,38]
[11,13,16,34,43,44]
[11,12,22,36,40,43]
[6,8,38,39,42,44]
[5,7,15,24,29,37]
[18,19,26,30,36,43]
[23,24,34,37,42,43]
[5,19,33,35,41,43]
[11,12,16,31,41,44]
[12,14,18,22,34,43]
[7,9,21,31,32,40]
[6,14,15,21,33,45]
[9,13,18,28,30,45]
[13,18,22,30,42,43]
[5,7,21,28,40,44]
[9,19,20,34,43,44]
[15,26,30,31,43,44]
[15,28,30,35,36,45]
[5,20,33,34,36,41]
[6,12,14,31,34,37]
[21,24,32,35,43,45]
[19,20,22,26,31,34]
[6,7,10,24,35,38]
[17,18,24,31,35,39]
[14,23,30,31,37,40]
[19,23,30,31,32,40]
[14,16,19,28,41,45]
[17,19,24,34,37,38]
[9,10,16,18,24,35]
[5,7,9,16,35,42]
[16,37,38,41,42,45]
[20,30,32,36,38,43]
[5,26,28,36,37,38]
[8,16,24,29,37,38]
[9,11,24,30,32,45]
[10,37,38,40,41,42]
[23,32,34,43,44,45]
[10,17,18,19,23,37]
[14,15,16,19,31,36]
[28,29,36,39,41,42]
[12,16,17,26,28,41]
[5,8,13,18,24,26]
[6,16,21,22,28,30]
[5,11,14,16,18,31]
[10,11,22,23,44,45]
[11,14,20,36,42,45]
[6,18,24,30,32,43]
[6,12,15,17,18,26]
[24,28,29,32,36,41]
[5,20,23,32,37,42]
[8,19,20,31,38,43]
[5,6,14,20,23,45]
[5,20,22,23,28,43]
[6,15,28,40,42,44]
[11,13,15,30,32,37]
[6,10,16,20,21,22]
[8,21,32,33,36,42]
[20,34,39,42,43,44]
[5,7,18,35,38,40]
[10,16,26,30,37,38]
[11,20,32,40,42,44]
[7,9,15,21,26,28]
[7,15,20,31,32,44]
[8,11,12,13,37,38]
[18,23,24,30,42,45]
[10,17,19,21,23,45]
[11,12,28,31,32,40]
[5,8,14,15,18,19]
[18,21,26,41,43,45]
[7,15,22,34,36,37]
[11,14,19,23,24,38]
[8,23,26,28,31,42]
[8,12,32,34,35,39]
[5,8,13,30,32,40]
[6,10,22,36,37,41]
[9,12,16,21,22,26]
[7,9,11,13,18,43]
[8,16,26,28,32,41]
[9,13,19,22,38,44]
[18,21,31,32,34,39]
[10,12,16,29,33,44]
[14,16,29,31,32,38]
